name,val,date
SAFEAUTO,84.0,2019-09-11 12:46:14
12th Avenue,93.0,2019-09-11 12:46:14
9th Avenue East,99.0,2019-09-11 12:46:14
9th Avenue West,100.0,2019-09-11 12:46:14
North Cannon,94.0,2019-09-11 12:46:14
South Cannon,79.0,2019-09-11 12:46:14
Ohio Union North,100.0,2019-09-11 12:46:14
Ohio Union South,26.0,2019-09-11 12:46:14
Gateway,65.0,2019-09-11 12:46:14
11th Avenue,100.0,2019-09-11 12:46:14
Neil Avenue,98.0,2019-09-11 12:46:14
Tuttle,96.0,2019-09-11 12:46:14
Northwest,98.0,2019-09-11 12:46:14
Arps Hall,82.0,2019-09-11 12:46:14
Lane Avenue,76.0,2019-09-11 12:46:14
West Lane Avenue,55.0,2019-09-11 12:46:14
Carmack Lot - 1,86.0,2019-09-11 12:46:14
Carmack Lot - 2/3,68.0,2019-09-11 12:46:14
Carmack Lot - 4,92.0,2019-09-11 12:46:14
Carmack Lot - 5,97.0,2019-09-11 12:46:14
Buckeye Lot,93.0,2019-09-11 12:46:14
SAFEAUTO,85.0,2019-09-11 13:16:15
12th Avenue,93.0,2019-09-11 13:16:15
9th Avenue East,98.0,2019-09-11 13:16:15
9th Avenue West,100.0,2019-09-11 13:16:15
North Cannon,94.0,2019-09-11 13:16:15
South Cannon,80.0,2019-09-11 13:16:15
Ohio Union North,100.0,2019-09-11 13:16:15
Ohio Union South,27.0,2019-09-11 13:16:15
Gateway,67.0,2019-09-11 13:16:15
11th Avenue,100.0,2019-09-11 13:16:15
Neil Avenue,98.0,2019-09-11 13:16:15
Tuttle,97.0,2019-09-11 13:16:15
Northwest,98.0,2019-09-11 13:16:15
Arps Hall,83.0,2019-09-11 13:16:15
Lane Avenue,79.0,2019-09-11 13:16:15
West Lane Avenue,53.0,2019-09-11 13:16:15
Carmack Lot - 1,86.0,2019-09-11 13:16:15
Carmack Lot - 2/3,67.0,2019-09-11 13:16:15
Carmack Lot - 4,92.0,2019-09-11 13:16:15
Carmack Lot - 5,96.0,2019-09-11 13:16:15
Buckeye Lot,91.0,2019-09-11 13:16:15
SAFEAUTO,84.0,2019-09-11 11:46:13
12th Avenue,86.0,2019-09-11 11:46:13
9th Avenue East,99.0,2019-09-11 11:46:13
9th Avenue West,100.0,2019-09-11 11:46:13
North Cannon,94.0,2019-09-11 11:46:13
South Cannon,78.0,2019-09-11 11:46:13
Ohio Union North,100.0,2019-09-11 11:46:13
Ohio Union South,26.0,2019-09-11 11:46:13
Gateway,65.0,2019-09-11 11:46:13
11th Avenue,100.0,2019-09-11 11:46:13
Neil Avenue,99.0,2019-09-11 11:46:13
Tuttle,98.0,2019-09-11 11:46:13
Northwest,99.0,2019-09-11 11:46:13
Arps Hall,82.0,2019-09-11 11:46:13
Lane Avenue,76.0,2019-09-11 11:46:13
West Lane Avenue,54.0,2019-09-11 11:46:13
Carmack Lot - 1,87.0,2019-09-11 11:46:13
Carmack Lot - 2/3,68.0,2019-09-11 11:46:13
Carmack Lot - 4,91.0,2019-09-11 11:46:13
Carmack Lot - 5,95.0,2019-09-11 11:46:13
Buckeye Lot,91.0,2019-09-11 11:46:13
SAFEAUTO,66.0,2019-09-11 09:46:10
12th Avenue,82.0,2019-09-11 09:46:10
9th Avenue East,99.0,2019-09-11 09:46:10
9th Avenue West,100.0,2019-09-11 09:46:10
North Cannon,86.0,2019-09-11 09:46:10
South Cannon,69.0,2019-09-11 09:46:10
Ohio Union North,88.0,2019-09-11 09:46:10
Ohio Union South,17.0,2019-09-11 09:46:10
Gateway,67.0,2019-09-11 09:46:10
11th Avenue,100.0,2019-09-11 09:46:10
Neil Avenue,99.0,2019-09-11 09:46:10
Tuttle,77.0,2019-09-11 09:46:10
Northwest,85.0,2019-09-11 09:46:10
Arps Hall,65.0,2019-09-11 09:46:10
Lane Avenue,71.0,2019-09-11 09:46:10
West Lane Avenue,53.0,2019-09-11 09:46:10
Carmack Lot - 1,88.0,2019-09-11 09:46:10
Carmack Lot - 2/3,69.0,2019-09-11 09:46:10
Carmack Lot - 4,92.0,2019-09-11 09:46:10
Carmack Lot - 5,75.0,2019-09-11 09:46:10
Buckeye Lot,81.0,2019-09-11 09:46:10
SAFEAUTO,84.0,2019-09-11 12:16:14
12th Avenue,87.0,2019-09-11 12:16:14
9th Avenue East,99.0,2019-09-11 12:16:14
9th Avenue West,100.0,2019-09-11 12:16:14
North Cannon,95.0,2019-09-11 12:16:14
South Cannon,78.0,2019-09-11 12:16:14
Ohio Union North,100.0,2019-09-11 12:16:14
Ohio Union South,27.0,2019-09-11 12:16:14
Gateway,65.0,2019-09-11 12:16:14
11th Avenue,100.0,2019-09-11 12:16:14
Neil Avenue,99.0,2019-09-11 12:16:14
Tuttle,100.0,2019-09-11 12:16:14
Northwest,98.0,2019-09-11 12:16:14
Arps Hall,83.0,2019-09-11 12:16:14
Lane Avenue,75.0,2019-09-11 12:16:14
West Lane Avenue,56.0,2019-09-11 12:16:14
Carmack Lot - 1,87.0,2019-09-11 12:16:14
Carmack Lot - 2/3,68.0,2019-09-11 12:16:14
Carmack Lot - 4,91.0,2019-09-11 12:16:14
Carmack Lot - 5,97.0,2019-09-11 12:16:14
Buckeye Lot,92.0,2019-09-11 12:16:14
SAFEAUTO,43.0,2019-09-11 08:16:08
12th Avenue,57.0,2019-09-11 08:16:08
9th Avenue East,98.0,2019-09-11 08:16:08
9th Avenue West,94.0,2019-09-11 08:16:08
North Cannon,61.0,2019-09-11 08:16:08
South Cannon,45.0,2019-09-11 08:16:08
Ohio Union North,49.0,2019-09-11 08:16:08
Ohio Union South,7.0,2019-09-11 08:16:08
Gateway,50.0,2019-09-11 08:16:08
11th Avenue,70.0,2019-09-11 08:16:08
Neil Avenue,99.0,2019-09-11 08:16:08
Tuttle,37.0,2019-09-11 08:16:08
Northwest,39.0,2019-09-11 08:16:08
Arps Hall,34.0,2019-09-11 08:16:08
Lane Avenue,50.0,2019-09-11 08:16:08
West Lane Avenue,53.0,2019-09-11 08:16:08
Carmack Lot - 1,68.0,2019-09-11 08:16:08
Carmack Lot - 2/3,56.0,2019-09-11 08:16:08
Carmack Lot - 4,93.0,2019-09-11 08:16:08
Carmack Lot - 5,37.0,2019-09-11 08:16:08
Buckeye Lot,47.0,2019-09-11 08:16:08
SAFEAUTO,78.0,2019-09-11 10:46:12
12th Avenue,88.0,2019-09-11 10:46:12
9th Avenue East,99.0,2019-09-11 10:46:12
9th Avenue West,100.0,2019-09-11 10:46:12
North Cannon,92.0,2019-09-11 10:46:12
South Cannon,78.0,2019-09-11 10:46:12
Ohio Union North,98.0,2019-09-11 10:46:12
Ohio Union South,22.0,2019-09-11 10:46:12
Gateway,68.0,2019-09-11 10:46:12
11th Avenue,100.0,2019-09-11 10:46:12
Neil Avenue,99.0,2019-09-11 10:46:12
Tuttle,92.0,2019-09-11 10:46:12
Northwest,98.0,2019-09-11 10:46:12
Arps Hall,76.0,2019-09-11 10:46:12
Lane Avenue,75.0,2019-09-11 10:46:12
West Lane Avenue,55.0,2019-09-11 10:46:12
Carmack Lot - 1,88.0,2019-09-11 10:46:12
Carmack Lot - 2/3,69.0,2019-09-11 10:46:12
Carmack Lot - 4,93.0,2019-09-11 10:46:12
Carmack Lot - 5,92.0,2019-09-11 10:46:12
